Glyph Code: 9ff284702a7c0d1eac8d70540fba9834, Text: a, Unicode: 97, Font Size: 11.039999999999964, Position: (471.21104, 722.74), Page: 0
Glyph Code: 2e4727229976f4682c2f4bfa4e6f6f77, Text: r, Unicode: 114, Font Size: 11.039999999999964, Position: (476.49920000000003, 722.74), Page: 0
Glyph Code: 11e23fe0312a7af92b74c0e37be5a5f0, Text: t, Unicode: 116, Font Size: 11.039999999999964, Position: (480.56192000000004, 722.74), Page: 0
Glyph Code: bdd13fed70ad113a16d775b48940f4fa, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (484.16096000000005, 722.74), Page: 0
Glyph Code: 35a01fce2b081c6b79c8c374fe7ca1db, Text: t, Unicode: 116, Font Size: 11.039999999999964, Position: (486.55664, 722.74), Page: 0
Glyph Code: a11530f40b852de269117b54c1f5d239, Text: y, Unicode: 121, Font Size: 11.039999999999964, Position: (490.1556800000001, 722.74), Page: 0
Glyph Code: 3725003a48134ec1e523391187bf0b21, Text: p, Unicode: 112, Font Size: 11.039999999999964, Position: (495.18992000000003, 722.74), Page: 0
Glyph Code: 386eee130c2c6e31541a51680cca39b4, Text: i, Unicode: 105, Font Size: 11.039999999999964, Position: (500.9528, 722.74), Page: 0
Glyph Code: 5b140f6faec23b72656bbb626967f36b, Text: n, Unicode: 110, Font Size: 11.039999999999964, Position: (503.58032000000003, 722.74), Page: 0
Glyph Code: f1188b83bd7aa868861c56ffd7dbac2a, Text: g, Unicode: 103, Font Size: 11.039999999999964, Position: (509.3432, 722.74), Page: 0
Glyph Code: ad4f87cf0ead5ab05d4097694c0242a5, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (514.60928, 722.74), Page: 0
Glyph Code: b3fa46de2c40726d884c1fb09f32dec1, Text: i, Unicode: 105, Font Size: 11.039999999999964, Position: (517.00496, 722.74), Page: 0
Glyph Code: 23b88e3b7a897ea8a25c166d3d210aab, Text: n, Unicode: 110, Font Size: 11.039999999999964, Position: (519.63248, 722.74), Page: 0
Glyph Code: 63e27f243c467e5fa7dc4905e5f3f98a, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (525.39536, 722.74), Page: 0
Glyph Code: 54d9bba2f5ac84e37488f850f651d114, Text: H, Unicode: 72, Font Size: 11.039999999999964, Position: (527.7910400000001, 722.74), Page: 0
Glyph Code: cf91737c2502717090c8c9aace759984, Text: i, Unicode: 105, Font Size: 11.039999999999964, Position: (534.7352, 722.74), Page: 0
Glyph Code: 612c36881141577cf9a6158fc1185af0, Text: n, Unicode: 110, Font Size: 11.039999999999964, Position: (537.36272, 722.74), Page: 0
Glyph Code: 1982861fc4f2aaaa555487365bf3aa00, Text: d, Unicode: 100, Font Size: 11.039999999999964, Position: (543.1256, 722.74), Page: 0
Glyph Code: cf9ea67ecf662204697bb5af47811899, Text: i, Unicode: 105, Font Size: 11.039999999999964, Position: (548.88848, 722.74), Page: 0
Glyph Code: f17b45fb732c277984030444d2551caf, Text: ., Unicode: 46, Font Size: 11.039999999999964, Position: (551.516, 722.74), Page: 0
Glyph Code: 9ed666a93f8aba7645a4d4f90d8f34cf, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (554.38, 722.74), Page: 0
Glyph Code: 6359d8c7a5ff11064dfbec2f096aed8b, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (36.024, 599.59), Page: 0
Glyph Code: dd4b33acdef3a865b1ae3d48c11f5a09, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (36.024, 586.15), Page: 0
Glyph Code: 48d524dc005cc5c7cf781d5aa4c52bab, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (38.41968, 586.15), Page: 0
Glyph Code: ba9dac780916e9d0144c31602906bcf4, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (40.81536, 586.15), Page: 0
Glyph Code: d270f80888b0751d4fd173120eeafa55, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (43.211040000000004, 586.15), Page: 0
Glyph Code: 15ef2d20d8d8e98ecb8673bbea85c147, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (45.83856, 586.15), Page: 0
Glyph Code: 423633481698bc475f4aae69aa72b348, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (48.23424, 586.15), Page: 0
Glyph Code: 054f595827f1cd2b19d45ec754f4a02d, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (50.86176, 586.15), Page: 0
Glyph Code: 502b5a1d290a3cfa1463eacfbf91cc12, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (53.25744, 586.15), Page: 0
Glyph Code: 79c78e9851d5d3528cd61f0de350604e, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (55.65312, 586.15), Page: 0
Glyph Code: 4b0da06fd6b88a512ecc78b77ec2bccb, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (58.28064, 586.15), Page: 0
Glyph Code: e0a1d6417af867b7abec4f09bff01c9d, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (60.67632, 586.15), Page: 0
Glyph Code: e58c4a533c346055a9769c60efc8599c, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (63.071999999999996, 586.15), Page: 0
Glyph Code: 14552ea892d1c29064705cf501e466c9, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (65.784, 586.15), Page: 0
